Task ID;Status;Reservation ID;Listing;Can start from;Should end by;Cost;Cost currency;Categories
4834478;Done;26622089;Ant Dohany 37 / 1 (fa);2024.05.01 11:00;2024.05.01 15:00;18;EUR;Cleaning
4834479;To Do;26700402;Ant Dohany 37 / 1 (fa);2024.05.04 11:00;2024.05.04 15:00;18;EUR;Cleaning
4834480;Done;26726227;Ant Dohany 37 / 1 (fa);2024.04.28 11:00;2024.04.28 15:00;18;EUR;Cleaning
4834481;To Do;26742484;Ant Dohany 37 / 1 (fa);2024.05.19 11:00;2024.05.20 15:00;18;EUR;Cleaning
4834482;To Do;26809954;Ant Dohany 37 / 1 (fa);2024.06.17 11:00;;18;EUR;Cleaning
4834483;To Do;26837956;Ant Dohany 37 / 1 (fa);2024.05.11 11:00;2024.05.12 15:00;18;EUR;Cleaning
4834484;To Do;26876289;Ant Dohany 37 / 1 (fa);2024.05.09 11:00;2024.05.09 15:00;18;EUR;Cleaning
4834485;To Do;26913536;Ant Dohany 37 / 1 (fa);2024.05.23 11:00;2024.05.23 15:00;18;EUR;Cleaning
4834486;To Do;27002385;Ant Dohany 37 / 1 (fa);2024.05.26 11:00;2024.05.26 15:00;18;EUR;Cleaning
4834487;To Do;27105662;Ant Dohany 37 / 1 (fa);2024.05.29 11:00;2024.05.29 15:00;18;EUR;Cleaning
4834488;To Do;27078051;Ant ÚJ Jokai 12 / 1 (kek);2024.05.05 11:00;2024.05.07 15:00;18;EUR;Cleaning
4834489;To Do;27161733;Ant ÚJ Jokai 12 / 1 (kek);2024.05.29 11:00;2024.06.05 15:00;18;EUR;Cleaning
4834490;To Do;27165273;Ant ÚJ Jokai 12 / 1 (kek);2024.05.16 11:00;2024.05.19 15:00;18;EUR;Cleaning
4836162;To Do;27208092;Király 14;2024.07.02 11:00;2024.07.05 15:00;23;EUR;Cleaning
4841858;To Do;27235232;Bajcsy 43;2024.06.05 11:00;2024.06.17 15:00;23;EUR;Cleaning
4844905;To Do;27244300;Ant ÚJ Jokai 12 / 1 (kek);2024.05.22 11:00;2024.05.22 15:00;18;EUR;Cleaning
4845147;To Do;27245317;Gyulai Pal 12;2024.07.09 11:00;2024.07.09 15:00;23;EUR;Cleaning
4846699;To Do;27252014;Nagymezo 36;2024.05.24 11:00;2024.05.24 15:00;23;EUR;Cleaning
4850508;To Do;27262187;Gyulai Pal 12;2024.07.14 11:00;2024.07.16 15:00;23;EUR;Cleaning
4851798;To Do;27270479;Ant Jokai 12 / 2 (rozsaszin);2024.06.01 11:00;2024.06.15 15:00;18;EUR;Cleaning
4857336;To Do;27286043;Ant ÚJ Jokai 12 / 1 (kek);2024.05.11 11:00;2024.05.11 15:00;18;EUR;Cleaning
4869142;To Do;27323424;Bajcsy 43;2024.06.20 11:00;;23;EUR;Cleaning
4869238;To Do;27323859;Ant Dohany 37 / 1 (fa);2024.05.31 11:00;2024.06.15 15:00;18;EUR;Cleaning
4877903;To Do;27361726;Bajcsy59;2024.05.13 11:00;2024.05.13 15:00;23;EUR;Cleaning
4887221;To Do;27402428;Ant Dohany 37 / 2 (anyag);2024.06.17 11:00;;18;EUR;Cleaning
4890261;To Do;27413376;Gyulai Pal 12;2024.05.22 11:00;2024.05.24 15:00;23;EUR;Cleaning
4891417;To Do;27418819;Ant Jokai 12 / 2 (rozsaszin);2024.06.18 11:00;2024.06.18 15:00;18;EUR;Cleaning
4894696;To Do;27435277;Gyulai Pal 12;2024.08.02 11:00;;23;EUR;Cleaning
4897001;To Do;27444313;Ant Jokai 12 / 2 (rozsaszin);2024.06.20 11:00;;18;EUR;Cleaning
4898408;To Do;27450155;Ant ÚJ Jokai 12 / 1 (kek);2024.06.23 11:00;;18;EUR;Cleaning
4912677;To Do;27514458;Bajcsy 19 / 2;2024.06.21 11:00;;23;EUR;Cleaning
